,species,n,col.n,empirical_type_raw,empirical_type_curated,extrapolated_type,sd_col,mean_col
4147,Cybianthus,1,0,NM,,AM,NA,NA
4148,Cybianthus densiflorus,1,0,AM,AM,AM,NA,NA
4149,Cycas circinalis,3,2,AM,AM,AM,0.753676739,0.546230129
4150,Cycas revoluta,3,0,AM,AM,AM,NA,NA
4151,Cyclachaena xanthiifolia,1,1,AM,AM,NA,NA,3.612143662
4152,Cyclamen hederifolium,2,0,AM,AM,AM,NA,NA
4153,Cyclamen persicum,1,0,AM,AM,AM,NA,NA
4154,Cyclamen purpurascens,1,0,AM,AM,AM,NA,NA
4155,Cyclea peltata,1,1,AM,AM,AM,NA,-1.603449871
4156,Cyclocarya paliurus,2,0,EcM-AM,AM,uncertain,NA,NA
4157,Cyclodium meniscioides,3,3,AM,AM,AM,0.118633334,-3.010075292
4158,Cyclodium trianae,1,1,AM,AM,AM,NA,-2.873089317
4159,Cyclophyllum coprosmoides,1,0,AM,AM,AM,NA,NA
4160,Cyclopogon elatus,1,0,OM,OM,OM,NA,NA
4161,Cyclosorus,1,0,AM,AM,AM,NA,NA
4162,Cyclosorus acuminatus,3,1,AM,AM,AM,NA,-2.873089317
4163,Cyclosorus hokouensis,1,0,AM,AM,AM,NA,NA
4164,Cyclosorus interruptus,1,0,AM,,AM,NA,NA
4165,Cyclosorus molliusculus,1,0,AM,AM,AM,NA,NA
4166,Cyclosorus parasiticus,1,0,AM,AM,AM,NA,NA
4167,Cyclospermum leptophyllum,1,1,AM,AM,AM,NA,-1.670331397
4168,Cycnogeton procerum,1,0,NM,NM,NM,NA,NA
4169,Cylicodiscus gabunensis,1,1,AM,AM,AM,NA,-1.569764267
4170,Cylindropuntia acanthocarpa,12,12,AM,AM,AM,0.754416177,-1.523031262
4171,Cylindropuntia bigelovii,5,5,AM,AM,AM,1.086570247,-1.272814074
4172,Cylindropuntia cholla,2,0,AM,AM,AM,NA,NA
4173,Cylindropuntia echinocarpa,1,1,AM,AM,AM,NA,-2.873089317
4174,Cylindropuntia leptocaulis,2,2,AM,AM,AM,0.62276403,-0.592654338
4175,Cylindropuntia lindsayi,2,0,AM,AM,AM,NA,NA
4176,Cymbalaria muralis,1,0,AM,AM,AM,NA,NA
4177,Cymbalaria pallida,1,1,AM,AM,AM,NA,0.770527539
4178,Cymbidium goeringii,2,0,OM-AM,OM,OM,NA,NA
4179,Cymbidium kanran,1,0,AM,,OM,NA,NA
4180,Cymbocarpa,1,0,AM,AM,AM,NA,NA
4181,Cymbocarpa refracta,1,0,AM,AM,AM,NA,NA
4182,Cymbocarpa saccata,1,0,AM,AM,AM,NA,NA
4183,Cymbonotus preissianus,1,0,AM,AM,AM,NA,NA
4184,Cymbopogon,2,1,NM-AM,AM,AM,NA,0
4185,Cymbopogon caesius,4,0,NM-AM,AM,AM,NA,NA
4186,Cymbopogon citratus,3,1,NM-AM,AM,AM,NA,0.306374205
4187,Cymbopogon distans,4,3,AM,AM,AM,0.411484111,-0.475140924
4188,Cymbopogon flexuosus,1,0,,,AM,NA,NA
4189,Cymbopogon goeringii,2,1,AM,AM,AM,NA,1.29504569
4190,Cymbopogon jwarancusa,5,4,AM,AM,AM,0.681947449,0.548480165
4191,Cymbopogon nardus,2,0,AM,AM,AM,NA,NA
4192,Cymbopogon winterianus,1,0,AM,AM,AM,NA,NA
4193,Cymodocea serrulata,1,1,,,NM,NA,-3.663561646
4194,Cynanchum acutum,3,0,NM-AM,,AM,NA,NA
4195,Cynanchum auriculatum,1,1,AM,AM,AM,NA,-0.8001193
4196,Cynanchum chinense,1,1,AM,AM,AM,NA,0.937033258
4197,Cynanchum pedunculatum,1,0,AM,AM,AM,NA,NA
4198,Cynanchum thesioides,3,3,AM,AM,AM,2.595924704,1.051026132
4199,Cynanchum viminale,1,1,,,AM,NA,-3.663561646
4200,Cynara cardunculus,1,0,AM,AM,AM,NA,NA
4201,Cynodon dactylon,37,21,NM-AM,AM,AM,2.105785461,0.517744659
4202,Cynodon radiatus,1,0,AM,,AM,NA,NA
4203,Cynoglossum,1,1,AM,AM,AM,NA,3.663561646
4204,Cynoglossum creticum,1,0,AM,AM,AM,NA,NA
4205,Cynoglossum lanceolatum,5,1,NM-AM,AM,AM,NA,0
4206,Cynoglossum ochroleucum,1,1,AM,AM,AM,NA,3.612143662
4207,Cynoglossum officinale,2,2,AM,AM,AM,0.874978211,-1.651718033
4208,Cynoglossum olgae,2,2,AM,AM,AM,0.29030026,1.547460936
4209,Cynoglossum zeylanicum,2,1,AM,AM,AM,NA,-2.548906233
4210,Cynoglossum tetraspis,1,1,AM,AM,AM,NA,3.223964749
4211,Cynometra,1,1,AM,AM,AM,NA,-3.331686778
4212,Cynometra alexandri,1,0,AM,AM,AM,NA,NA
4213,Cynometra hankei,1,1,AM,AM,AM,NA,-2.873089317
4214,Cynometra leonensis,1,0,AM,AM,AM,NA,NA
4215,Cynometra sanagaensis,1,1,AM,AM,AM,NA,-0.464157559
4216,Cynometra spruceana,1,0,AM,AM,AM,NA,NA
4217,Cynorkis elata,1,0,AM,,OM,NA,NA
4218,Cynosurus cristatus,3,0,AM,AM,AM,NA,NA
4219,Cynosurus echinatus,1,1,AM,AM,AM,NA,3.223964749
4220,Cyperus,10,6,NM-AM,NM-AM,NM-AM,3.153480644,-0.24669417
4221,Cyperus alternifolius,1,1,NM,NM,NM-AM,NA,-3.663561646
4222,Cyperus arenarius,2,1,AM,AM,NM-AM,NA,-0.384674338
4223,Cyperus articulatus,7,3,NM-AM,NM-AM,NM-AM,1.05089594,-2.513273837
4224,Cyperus blepharoleptos,1,0,NM,,NM-AM,NA,NA
4225,Cyperus brevifolius,1,0,NM,NM,NM-AM,NA,NA
4226,Cyperus bulbosus,3,1,NM,NM,NM-AM,NA,-3.663561646
4227,Cyperus capitatus,4,2,NM-AM,AM,NM-AM,0.210953037,-2.399739909
4228,Cyperus castaneus,3,1,NM,NM,NM-AM,NA,-3.663561646
4229,Cyperus cephalotes,1,0,NM,NM,NM-AM,NA,NA
4230,Cyperus clarkei,3,1,AM,AM,NM-AM,NA,-0.965867314
4231,Cyperus compressus,4,2,AM,AM,NM-AM,1.831699492,-2.368354514
4232,Cyperus cyperinus,8,3,AM,AM,NM-AM,0.445385197,-0.546510668
4233,Cyperus cyperoides,2,1,NM-AM,NM-AM,NM-AM,NA,-0.424250883
4234,Cyperus decompositus,3,0,NM,NM,NM-AM,NA,NA
4235,Cyperus difformis,4,1,NM-AM,NM-AM,NM-AM,NA,-3.663561646
4236,Cyperus digitatus,1,0,NM,NM,NM-AM,NA,NA
4237,Cyperus distans,7,4,NM-AM,NM-AM,NM-AM,1.538665096,-2.894229098
4238,Cyperus dubius,8,3,NM-AM,NM-AM,NM-AM,1.61595632,-1.891651651
4239,Cyperus entrerianus,2,1,NM-AM,NM-AM,NM-AM,NA,-3.663561646
4240,Cyperus eragrostis,1,0,NM,NM,NM-AM,NA,NA
4241,Cyperus erythrorhizos,1,0,NM,NM,NM-AM,NA,NA
4242,Cyperus esculentus,6,3,NM-AM,NM-AM,NM-AM,0,-3.663561646
4243,Cyperus exaltatus,5,1,NM,NM,NM-AM,NA,-3.663561646
4244,Cyperus fuscus,2,2,NM,NM,NM-AM,0,-3.663561646
4245,Cyperus giganteus,1,1,NM,NM,NM-AM,NA,-3.663561646
4246,Cyperus glomeratus,2,1,NM-AM,NM-AM,NM-AM,NA,-3.663561646
4247,Cyperus halpan,3,1,NM-AM,NM-AM,NM-AM,NA,-1.033015006
4248,Cyperus hamulosus,3,1,NM-AM,NM-AM,NM-AM,NA,-3.663561646
4249,Cyperus iria,11,5,AM,AM,NM-AM,1.523726113,-1.024555389
4250,Cyperus javanicus,4,0,NM,NM,NM-AM,NA,NA
4251,Cyperus laevigatus,4,1,NM-AM,NM-AM,NM-AM,NA,-0.669985891
4252,Cyperus ligularis,2,0,AM,AM,NM-AM,NA,NA
4253,Cyperus luzulae,1,0,NM,NM,NM-AM,NA,NA
4254,Cyperus meyenianus,1,1,AM,AM,NM-AM,NA,-3.01282128
4255,Cyperus microiria,4,1,NM-AM,NM-AM,NM-AM,NA,-3.663561646
4256,Cyperus niveus,2,0,AM,AM,NM-AM,NA,NA
4257,Cyperus nutans,3,1,AM,AM,NM-AM,NA,-0.068046244
4258,Cyperus nutans var. eleusinoides,3,0,NM-AM,NM-AM,NM-AM,NA,NA
4259,Cyperus odoratus,1,0,AM,AM,NM-AM,NA,NA
4260,Cyperus pangorei,1,0,NM,NM,NM-AM,NA,NA
4261,Cyperus paniceus,5,2,NM-AM,NM-AM,NM-AM,1.726647194,-2.442637707
4262,Cyperus papyrus,1,1,,,NM-AM,NA,-3.663561646
4263,Cyperus pilosus,1,0,AM,AM,NM-AM,NA,NA
4264,Cyperus platyphyllus,2,1,AM,AM,NM-AM,NA,-3.663561646
4265,Cyperus pohlii,1,0,NM,NM,NM-AM,NA,NA
4266,Cyperus reflexus,3,3,NM,NM,NM-AM,0,-3.663561646
4267,Cyperus rotundus,28,17,NM-AM,NM-AM,NM-AM,1.403311646,-1.409941788
4268,Cyperus squarrosus,5,2,NM-AM,NM-AM,NM-AM,2.452518132,-1.929369444
4269,Cyperus stoloniferus,3,1,AM,AM,NM-AM,NA,0.306374205
4270,Cyperus strigosus,3,1,NM-AM,NM-AM,NM-AM,NA,-1.29504569
4271,Cyperus surinamensis,1,0,AM,AM,NM-AM,NA,NA
4272,Cyperus tenuispica,4,1,NM,NM,NM-AM,NA,-3.663561646
4273,Cyphia digitata,1,0,AM,AM,AM,NA,NA
4274,Cyphostemma setosum,1,0,,,uncertain,NA,NA
4275,Cypripedium calceolus,8,0,NM-OM,OM,OM,NA,NA
4276,Cypripedium californicum,1,0,OM,OM,OM,NA,NA
4277,Cypripedium candidum,1,0,OM,OM,OM,NA,NA
4278,Cypripedium fasciculatum,1,0,OM,OM,OM,NA,NA
4279,Cypripedium guttatum,5,0,OM,OM,OM,NA,NA
4280,Cypripedium japonicum,1,0,AM,,OM,NA,NA
4281,Cypripedium montanum,1,0,OM,OM,OM,NA,NA
4282,Cypripedium parviflorum,1,0,OM,OM,OM,NA,NA
4283,Cypripedium passerinum,1,0,OM,OM,OM,NA,NA
4284,Cyrtandra longifolia,1,1,AM,AM,AM,NA,-2.873089317
4285,Cyrtocarpa edulis,2,0,AM,AM,AM,NA,NA
4286,Cyrtococcum patens,1,0,AM,,AM,NA,NA
4287,Cyrtomium caryotideum,1,0,AM,AM,AM,NA,NA
4288,Cyrtomium falcatum,3,0,NM-AM,AM,AM,NA,NA
4289,Cyrtomium fortunei,2,0,AM,AM,AM,NA,NA
4290,Cyrtophyllum fragrans,1,0,AM,AM,AM,NA,NA
4291,Cyrtosia septentrionalis,1,0,OM,OM,OM,NA,NA
4292,Cystacanthus paniculatus,1,0,AM,AM,AM,NA,NA
4293,Cysticapnos vesicaria,1,0,NM,NM,NM-AM,NA,NA
4294,Cystopteris fragilis,12,5,NM-AM,NM-AM,AM,3.235418477,1.539140395
4295,Cystopteris montana,1,0,NM,,AM,NA,NA
4296,Cytinus hypocistis,1,0,AM,AM,AM,NA,NA
4297,Cytisus,1,0,,,AM,NA,NA
4298,Cytisus austriacus,1,0,AM,AM,AM,NA,NA
4299,Cytisus nigricans,1,0,AM,AM,AM,NA,NA
4300,Cytisus purpureus,1,0,AM,AM,AM,NA,NA
4301,Cytisus ratisbonensis,1,1,AM,AM,AM,NA,-3.331686778
4302,Cytisus ruthenicus,7,7,AM,AM,AM,1.748069551,2.121876173
4303,Cytisus ruthenicus var. zingeri,1,1,AM,AM,AM,NA,-1.497856044
4304,Cytisus scoparius,4,0,AM,AM,AM,NA,NA
4305,Daboecia cantabrica,3,0,ErM,ErM,ErM,NA,NA
4306,Dacrycarpus compactus,1,0,AM,AM,AM,NA,NA
4307,Dacrycarpus dacrydioides,3,2,AM,AM,AM,3.321075411,-0.524734373
4308,Dacrycarpus imbricatus,1,0,AM,AM,AM,NA,NA
4309,Dacrydium cupressinum,5,3,AM,AM,AM,3.053355847,0.652622323
4310,Dacryodes,4,0,AM,AM,AM,NA,NA
4311,Dacryodes buettneri,1,0,AM,AM,AM,NA,NA
4312,Dacryodes costata,1,0,AM,AM,AM,NA,NA
4313,Dacryodes edulis,1,0,AM,AM,AM,NA,NA
4314,Dacryodes excelsa,1,0,AM,AM,AM,NA,NA
4315,Dacryodes rubiginosa,1,0,AM,AM,AM,NA,NA
4316,Dacryodes rugosa,1,0,AM,AM,AM,NA,NA
4317,Dactyladenia pallescens,1,0,AM,AM,AM,NA,NA
4318,Dactyladenia staudtii,1,0,AM,AM,AM,NA,NA
4319,Dactylis glomerata,41,20,NM-AM,AM,AM,2.299903744,1.001303844
4320,Dactyloctenium aegyptium,7,4,NM-AM,AM,AM,0.628364599,-0.447696724
4321,Dactylorhiza aristata,1,0,AM,,OM,NA,NA
4322,Dactylorhiza fuchsii,1,0,OM,OM,OM,NA,NA
4323,Dactylorhiza incarnata,10,0,OM,OM,OM,NA,NA
4324,Dactylorhiza maculata,15,0,OM,OM,OM,NA,NA
4325,Dactylorhiza majalis,7,0,OM,OM,OM,NA,NA
4326,Dactylorhiza osmanica,5,0,OM,OM,OM,NA,NA
4327,Dactylorhiza praetermissa,4,0,OM,OM,OM,NA,NA
4328,Dactylorhiza purpurella,15,0,OM,OM,OM,NA,NA
4329,Dactylorhiza saccifera,1,0,OM,OM,OM,NA,NA
4330,Dactylorhiza umbrosa,1,0,OM,OM,OM,NA,NA
4331,Dactylorhiza viridis,12,0,OM,OM,OM,NA,NA
4332,Dalbergia assamica,3,0,EcM-AM,AM,AM,NA,NA
4333,Dalbergia bariensis,2,0,AM,AM,AM,NA,NA
4334,Dalbergia cochinchinensis,4,0,AM,AM,AM,NA,NA
4335,Dalbergia dongnaiensis,4,0,AM,AM,AM,NA,NA
4336,Dalbergia horrida,1,0,NM,,AM,NA,NA
4337,Dalbergia hupeana,2,0,EcM-AM,,AM,NA,NA
4338,Dalbergia inundata,1,0,AM,AM,AM,NA,NA
4339,Dalbergia lakhonensis,2,0,AM,AM,AM,NA,NA
4340,Dalbergia lanceolaria,5,0,AM,AM,AM,NA,NA
4341,Dalbergia latifolia,3,3,AM,AM,AM,2.109155064,-0.170674747
4342,Dalbergia maritima,1,1,AM,AM,AM,NA,-3.078568279
4343,Dalbergia melanoxylon,4,2,AM,AM,AM,0,-1.569764267
4344,Dalbergia nigra,2,1,AM,AM,AM,NA,-3.078568279
4345,Dalbergia nitidula,2,0,AM,AM,AM,NA,NA
4346,Dalbergia obtusifolia,2,0,AM,AM,AM,NA,NA
4347,Dalbergia oliveri,4,0,AM,AM,AM,NA,NA
4348,Dalbergia sissoo,15,9,AM,AM,AM,1.208329731,0.419007818
4349,Dalbergia spinosa,1,0,NM,,AM,NA,NA
4350,Dalbergia yunnanensis,1,1,AM,AM,AM,NA,0.984498982
4351,Dalea candida,2,0,AM,AM,AM,NA,NA
4352,Dalea purpurea,3,0,AM,AM,AM,NA,NA
4353,Dalibarda repens,1,0,AM,AM,NA,NA,NA
4354,Damnacanthus macrophyllus,1,0,AM,AM,AM,NA,NA
4355,Dampiera linearis,1,1,AM,AM,EcM-AM,NA,0.712711386
4356,Dampiera rosmarinifolia,1,0,EcM-AM,,EcM-AM,NA,NA
4357,Dampiera stricta,1,0,EcM-AM,,EcM-AM,NA,NA
4358,Danaea elliptica,2,2,AM,AM,AM,0,-3.078568279
4359,Danaea humilis,2,2,AM,AM,AM,0,-3.078568279
4360,Danaea moritziana,3,3,AM,AM,AM,0,-2.873089317
4361,Daniella ogea,1,0,AM,AM,AM,NA,NA
4362,Daniellia pynaertii,1,0,AM,AM,AM,NA,NA
4363,Danthonia decumbens,6,0,AM,AM,AM,NA,NA
4364,Daphne glomerata,4,4,AM,AM,AM,1.799481413,2.167494549
4365,Daphne gnidium,1,0,AM,AM,AM,NA,NA
4366,Daphne laureola,2,0,AM,AM,AM,NA,NA
4367,Daphne mezereum,18,8,NM-AM,AM,AM,0.41307951,3.372486591
4368,Daphne odora,2,0,AM,AM,AM,NA,NA
4369,Daphne purpurascens,1,1,AM,AM,AM,NA,1.746414542
4370,Daphne striata,2,0,EcM,,AM,NA,NA
4371,Daphniphyllum glaucescens,1,0,AM,AM,AM,NA,NA
4372,Daphniphyllum himalayense,1,1,AM,AM,AM,NA,1.905386878
4373,Daphniphyllum macropodum,2,0,AM,AM,AM,NA,NA
4374,Dapsilanthus spathaceus,2,0,NM,NM,NM-AM,NA,NA
4375,Darlingia darlingiana,1,0,NM,NM,NM,NA,NA
4376,Darwinia sanguinea,1,0,AM,AM,AM,NA,NA
4377,Dasiphora fruticosa,8,3,AM,AM,AM,3.084764803,0.733094009
4378,Dasylepis blackii,1,0,AM,AM,AM,NA,NA
4379,Dasyphyllum diacanthoides,1,0,AM,,AM,NA,NA
4380,Dasyphyllum tomentosum var. tomentosum,1,1,AM,AM,AM,NA,-0.606973028
4381,Datisca glomerata,1,0,AM,,AM,NA,NA
4382,Datura innoxia,1,0,,,AM,NA,NA
4383,Datura metel,7,4,AM,AM,AM,0.91416886,0.040430801
4384,Datura stramonium,7,2,NM-AM,AM,AM,0.458446083,0.708844672
4385,Daucus carota,13,3,NM-AM,AM,AM,3.231268966,0.043385477
4386,Daucus carota subsp. sativus,2,1,AM,AM,AM,NA,-1.630951916
4387,Daucus glochidiatus,2,0,AM,AM,AM,NA,NA
4388,Davallia mariesii,2,1,AM,AM,AM,NA,-3.331686778
4389,Davallia perdurans,1,0,AM,AM,AM,NA,NA
4390,Davidia involucrata,1,0,AM,,AM,NA,NA
4391,Daviesia cordata,3,0,NM,,species-specific EcM-AM or AM or NM,NA,NA
4392,Daviesia corymbosa,2,0,EcM-AM,,species-specific EcM-AM or AM or NM,NA,NA
4393,Daviesia decurrens,2,0,NM,,species-specific EcM-AM or AM or NM,NA,NA
4394,Daviesia leptophylla,1,0,EcM,,species-specific EcM-AM or AM or NM,NA,NA
4395,Daviesia reclinata,1,0,AM,,species-specific EcM-AM or AM or NM,NA,NA
4396,Davilla flexuosa,1,1,AM,AM,AM,NA,-1.510936806
4397,Debregeasia edulis,2,1,NM-AM,NM-AM,NM-AM,NA,-0.545108574
4398,Decaspermum fruticosum,1,1,AM,AM,AM,NA,0.04941005
4399,Decaspermum gracilentum,1,0,AM,AM,AM,NA,NA
4400,Decazesia hecatocephala,1,0,AM,AM,AM,NA,NA
4401,Declieuxia fruticosa,1,0,AM,AM,AM,NA,NA
4402,Deinbollia maxima,1,0,AM,AM,AM,NA,NA
4403,Deinbollia pycnophylla,2,1,AM,AM,AM,NA,-1.569764267
4404,Deinostema violacea,1,0,NM,NM,NM-AM,NA,NA
4405,Delonix regia,8,3,AM,AM,AM,1.884669079,-0.701260243
4406,Delosperma herbeum,1,0,AM,AM,NM-AM,NA,NA
4407,Delphinium,2,1,AM,AM,AM,NA,-0.937033258
4408,Delphinium barbeyi,1,0,AM,,AM,NA,NA
4409,Delphinium caucasicum,1,1,AM,AM,AM,NA,3.39583564
4410,Delphinium elatum,3,2,AM,AM,AM,0.362996732,3.390706147
4411,Delphinium glaucum,1,0,AM,AM,AM,NA,NA
4412,Delphinium iliense,1,1,AM,AM,AM,NA,1.215111952
4413,Delphinium nuttallianum,1,0,AM,AM,AM,NA,NA
4414,Delphinium oreophilum,1,0,NM,,AM,NA,NA
4415,Delphinium pyramidatum,1,1,AM,AM,AM,NA,3.223964749
4416,Dendrobium cunninghamii,1,0,OM,OM,OM,NA,NA
4417,Dendrobium moniliforme,1,0,AM,,OM,NA,NA
4418,Dendrobium tetragonum,1,0,OM,OM,OM,NA,NA
4419,Dendrocalamus asper,2,0,AM,AM,AM,NA,NA
4420,Dendrocalamus hamiltonii,2,1,AM,AM,AM,NA,-0.586231455
4421,Dendrocalamus hookeri,1,1,AM,AM,AM,NA,-0.8001193
4422,Dendrocalamus strictus,5,2,AM,AM,AM,0.276999657,-0.604250964
4423,Dendroceros crispus,1,0,,,AM,NA,NA
4424,Dendroceros validus,1,0,NM,,AM,NA,NA
4425,Dendrochilum hologyne,1,0,AM,AM,OM,NA,NA
4426,Dendrocnide meyeniana,1,0,AM,AM,NM-AM,NA,NA
4427,Dendrolobium triangulare,2,1,AM,AM,AM,NA,-2.548906233
4428,Dendropanax arboreus,1,0,AM,AM,AM,NA,NA
4429,Dendropanax cuneatus,2,1,AM,AM,AM,NA,-3.331686778
4430,Dendropanax trifidus,1,0,AM,AM,AM,NA,NA
4431,Dendrotrophe varians,1,0,NM,,NM-AM,NA,NA
4432,Dendroviguiera eriophora,1,0,AM,AM,NA,NA,NA
4433,Dennstaedtia auriculata,1,1,AM,AM,AM,NA,-3.078568279
4434,Dennstaedtia dissecta,2,2,AM,AM,AM,0,-3.078568279
4435,Dennstaedtia hirsuta,1,1,AM,AM,AM,NA,-2.699548556
4436,Dennstaedtia melanostipes,1,0,AM,AM,AM,NA,NA
4437,Dennstaedtia pilosella,1,0,AM,AM,AM,NA,NA
4438,Dennstaedtia punctilobula,1,0,AM,AM,AM,NA,NA
4439,Dennstaedtia scabra,1,0,AM,AM,AM,NA,NA
4440,Dennstaedtia wilfordii,1,1,AM,AM,AM,NA,-2.699548556
4441,Dentella repens,1,1,AM,AM,AM,NA,0.384674338
4442,Dentella repens var. serpyllifolia,1,1,AM,AM,AM,NA,0.384674338
4443,Deparia boryana,2,0,AM,AM,AM,NA,NA
4444,Deparia conilii,1,1,AM,AM,AM,NA,-2.699548556
4445,Deparia dolosa,1,0,AM,AM,AM,NA,NA
4446,Deparia japonica,1,1,AM,AM,AM,NA,-2.699548556
4447,Deparia lancea,1,1,AM,AM,AM,NA,0.29859902
4448,Deparia longipes,1,0,AM,AM,AM,NA,NA
4449,Deparia petersenii,2,1,AM,AM,AM,NA,1.02420051
4450,Deplanchea tetraphylla,1,0,AM,AM,AM,NA,NA
4451,Derris scandens,2,1,AM,AM,NM-AM,NA,-3.663561646
4452,Derris trifoliata,8,5,NM-AM,NM-AM,NM-AM,0.870940939,-2.791776691
4453,Desbordesia insignis,1,0,AM,AM,AM,NA,NA
4454,Deschampsia antarctica,4,0,NM-AM,AM,AM,NA,NA
4455,Deschampsia atropurpurea,1,0,AM,AM,AM,NA,NA
4456,Deschampsia cespitosa,36,18,NM-AM,AM,AM,2.346614038,0.691573745
4457,Deschampsia chapmanii,1,0,AM,,AM,NA,NA
4458,Deschampsia flexuosa,32,13,AM,AM,AM,1.980495771,2.155057875
4459,Descurainia argentina,1,0,AM,,NM,NA,NA
4460,Descurainia artemisioides,1,0,NM,NM,NM,NA,NA
4461,Descurainia californica,1,0,AM,,NM,NA,NA
4462,Descurainia gilva,1,0,NM,NM,NM,NA,NA
4463,Descurainia hartwegiana,1,0,NM,NM,NM,NA,NA
4464,Descurainia incana,1,0,NM,NM,NM,NA,NA
4465,Descurainia incisa,1,0,AM,,NM,NA,NA
4466,Descurainia lemsii,1,0,NM,NM,NM,NA,NA
4467,Descurainia millefolia,1,0,NM,NM,NM,NA,NA
4468,Descurainia obtusa,1,0,NM,NM,NM,NA,NA
4469,Descurainia pinnata,2,0,NM-AM,NM,NM,NA,NA
4470,Descurainia sophia,8,7,NM,NM,NM,0,-3.663561646
4471,Descurainia sophioides,1,0,NM,NM,NM,NA,NA
4472,Descurainia streptocarpa,1,0,NM,NM,NM,NA,NA
4473,Desfontainia spinosa,1,0,AM,AM,AM,NA,NA
4474,Desmanthus illinoensis,1,0,AM,AM,AM,NA,NA
4475,Desmanthus virgatus,1,1,AM,AM,AM,NA,1.033015006
4476,Desmocladus asper,1,0,AM,AM,NM-AM,NA,NA
4477,Desmocladus flexuosus,1,1,NM,NM,NM-AM,NA,-3.663561646
4478,Desmodium,5,1,AM,AM,AM,NA,-0.190574699
4479,Desmodium adscendens,2,0,AM,AM,AM,NA,NA
4480,Desmodium brownii,1,0,AM,AM,AM,NA,NA
4481,Desmodium cordatum,1,0,AM,AM,AM,NA,NA
4482,Desmodium dichotomum,2,1,AM,AM,AM,NA,0
4483,Desmodium elegans,1,1,AM,AM,AM,NA,3.663561646
4484,Desmodium gangeticum,4,2,AM,AM,AM,1.791145455,-0.406653884
4485,Desmodium heterocarpon,4,4,AM,AM,AM,0.148861311,-1.69687437
4486,Desmodium heterophyllum,1,0,AM,AM,AM,NA,NA
4487,Desmodium khasianum,1,0,AM,AM,AM,NA,NA
4488,Desmodium microphyllum,2,0,AM,AM,AM,NA,NA
4489,Desmodium multiflorum,1,1,AM,AM,AM,NA,1.673184981
4490,Desmodium paniculatum,1,0,AM,AM,AM,NA,NA
4491,Desmodium pryonii,1,1,AM,AM,AM,NA,-2.548906233
4492,Desmodium renifolium,1,0,AM,AM,AM,NA,NA
4493,Desmodium zonatum,1,0,AM,AM,AM,NA,NA
4494,Desmodium tortuosum,1,1,AM,AM,AM,NA,-1.133585591
4495,Desmodium trichostachyum,1,1,AM,AM,AM,NA,-2.873089317
4496,Desmodium triflorum,7,6,AM,AM,AM,0.998278115,0.796008283
4497,Desmos chinensis,1,0,AM,AM,AM,NA,NA
4498,Detarium macrocarpum,1,0,AM,AM,AM,NA,NA
4499,Deuterocohnia longipetala,5,4,NM-AM,NM,NM,0,-3.663561646
4500,Deutzia,1,1,AM,AM,AM,NA,-0.417149001
4501,Deutzia ýýcarnea,1,1,AM,AM,AM,NA,-0.417149001
4502,Deutzia discolor,3,2,NM-AM,AM,AM,0,-0.417149001
4503,Deutzia floribunda,1,1,AM,AM,AM,NA,-0.417149001
4504,Deutzia longifolia,1,1,AM,AM,AM,NA,-1.497856044
4505,Deutzia ningpoensis,1,0,AM,,AM,NA,NA
4506,Deutzia parviflora var. amurensis,1,0,AM,AM,AM,NA,NA
4507,Deutzia pulchra,1,1,AM,AM,AM,NA,-0.417149001
4508,Deutzia purpurascens,1,1,AM,AM,AM,NA,3.223964749
4509,Deutzia scabra,1,1,AM,AM,AM,NA,2.639435258
4510,Deutzia schneideriana,1,1,AM,AM,AM,NA,-0.417149001
4511,Deutzia staminea,1,1,AM,AM,AM,NA,-0.417149001
4512,Diabelia serrata,1,0,AM,AM,AM,NA,NA
4513,Dialium,2,1,EcM-AM,AM,AM,NA,-2.971071712
4514,Dialium cochinchinense,2,0,AM,AM,AM,NA,NA
4515,Dialium guianense,1,1,AM,AM,AM,NA,-0.712711386
4516,Dialium guineense,2,0,AM,AM,AM,NA,NA
4517,Dialium pachyphyllum,3,0,AM,AM,AM,NA,NA
4518,Dialium patens,1,0,AM,AM,AM,NA,NA
4519,Dianella,1,0,AM,AM,AM,NA,NA
4520,Dianella ensifolia,2,0,AM,AM,AM,NA,NA
4521,Dianella odorata,1,0,AM,AM,AM,NA,NA
4522,Dianella sandwicensis,1,1,AM,AM,AM,NA,-2.873089317
4523,Dianthus barbatus,2,1,NM,NM,NM,NA,-3.663561646
4524,Dianthus carthusianorum,3,0,NM-AM,NM,NM,NA,NA
4525,Dianthus caryophyllus,1,0,NM,NM,NM,NA,NA
4526,Dianthus chinensis,7,5,NM-AM,NM,NM,0,-3.663561646
4527,Dianthus cretaceus,3,3,NM,NM,NM,0,-3.663561646
4528,Dianthus deltoides,6,5,NM,NM,NM,0,-3.663561646
4529,Dianthus gratianopolitanus,3,0,NM-AM,NM,NM,NA,NA
4530,Dianthus plumarius,1,1,NM,NM,NM,NA,-3.663561646
4531,Dianthus ruprechtii,3,3,NM,NM,NM,0,-3.663561646
4532,Dianthus serotinus,1,1,NM,NM,NM,NA,-3.663561646
4533,Dianthus superbus,1,0,,,NM,NA,NA
4534,Dianthus superbus subsp. alpestris,6,4,NM-AM,NM,NM,0,-3.663561646
4535,Diapensia lapponica,6,0,ErM-AM,ErM,ErM,NA,NA
4536,Diarrhena japonica,1,0,AM,AM,AM,NA,NA
